level,nV,nQ,rank,slack_fro,slack_lmax,width,E_min,E_max
4,14,0,2,0.0,0.0,8.189753286164843,0.8660253290228355,9.055778615187679
6,94,0,12,0.0,0.0,2.014116296431455,0.9557833239887976,2.9698996204202524
8,614,6,38,6.960740483357058,6.960586171962094,nan,1.1696695914064603,-inf
