twok,op_value,boot4_lo,boot4_hi,boot6_lo,boot6_hi,boot8_lo,boot8_hi,boot10_lo,boot10_hi
2,0.4201155992398945,-1.1215171608396049e-11,0.6180339872872862,0.3903882045521226,0.557456651975321,0.39356621521973595,0.43114751610978524,0.4199579714536669,0.4285305572782781
4,0.3342486411950743,0.12834848492862488,1.00000000016178,0.1885804855455869,0.4514161913624693,0.31273198787455314,0.3572432559806812,0.33002170248765456,0.33835398720492943
6,0.32947884567371205,,,0.23798524732528725,0.59634778333111,0.2776597783575371,0.338744512191859,0.3188109463254185,0.3295876114242201
8,0.3641967766013453,,,,,0.3043564277436371,0.44730113008872563,0.3334876601826773,0.354916907146389
10,0.4328277454279456,,,,,,,0.3804249278267857,0.43057813542239104
12,0.5408269074465838,,,,,,,,
14,0.7010112321333907,,,,,,,,
16,0.934362368417194,,,,,,,,
