degree,W,n_basis,m_A2,reach_len,A2,A4,A6,A8,A10
5,3,14,0.42267846983813573,4,0.42267846983813573,0.3370406210447166,0.3333515004266895,0.3772289901564097,0.4733598470471685
5,5,14,0.42156512918101186,10,0.42156512918101186,0.33311827464270866,0.3200166786519468,0.3440422020018898,0.40004796950059857
7,3,50,0.42044883502928854,4,0.42044883502928854,0.33061293987365087,0.3604390479412731,0.5175495603193883,0.9080772747678407
